,id,name,street_address,price,cuisine,rating,latitude,longitude,price_mid,cuisine_cat,duplicate
491,491,Burlamacco Ristorante,30 Stanley Street,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",4.5,1.281013,103.848302,15.5,19,1
491,491,Burlamacco Ristorante,30 Stanley Street,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",4.5,1.281013,103.848302,15.5,10,1
491,491,Burlamacco Ristorante,30 Stanley Street,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",4.5,1.281013,103.848302,15.5,11,1
491,491,Burlamacco Ristorante,30 Stanley Street,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",4.5,1.281013,103.848302,15.5,28,1
492,492,Burnt Ends,20 Teck Lim Road,$51 - $80,Multi-Cuisine,3.5,1.280557,103.841904,65.5,1,0
493,493,Burp Kitchen &amp; Bar,740 Bedok Reservoir Road #01-3165,$11 - $20,Fusion,3.5,1.338117,103.922639,15.5,21,0
494,494,Buta Ramen,"Far East Square, 137 Amoy St #01-04",$11 - $20,Japanese,3.5,1.283288,103.848191,15.5,24,0
497,497,Buttercake N Cream,Blk 106 Clementi St 12 #01-52,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",3.5,1.353864,103.891122,15.5,19,1
497,497,Buttercake N Cream,Blk 106 Clementi St 12 #01-52,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",3.5,1.353864,103.891122,15.5,10,1
497,497,Buttercake N Cream,Blk 106 Clementi St 12 #01-52,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",3.5,1.353864,103.891122,15.5,11,1
497,497,Buttercake N Cream,Blk 106 Clementi St 12 #01-52,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",3.5,1.353864,103.891122,15.5,28,1
500,500,Cafe 2000,"M Hotel, 81 Anson Road",$21 - $30,Multi-Cuisine,3.5,1.290778,103.839076,25.5,1,0
502,502,Cafe De Hong Kong,"Eastpac Building, 586 Balestier Road #01-01",$21 - $30,Cantonese/Hong Kong,4.0,1.326825,103.843357,25.5,6,1
502,502,Cafe De Hong Kong,"Eastpac Building, 586 Balestier Road #01-01",$21 - $30,Cantonese/Hong Kong,4.0,1.326825,103.843357,25.5,7,1
503,503,Cafe De Nicole’s Flower,"UNI Building, 224 Telok Kurau Road, #01-01",$11 - $20,Singaporean Western,3.5,1.311404,103.910834,15.5,23,0
504,504,Caf&#233; Epicurious,"The Quayside, 60 Robertson Quay #01-02",$11 - $20,"American, Fusion",3.5,1.290185,103.839111,15.5,16,1
504,504,Caf&#233; Epicurious,"The Quayside, 60 Robertson Quay #01-02",$11 - $20,"American, Fusion",3.5,1.290185,103.839111,15.5,21,1
505,505,Cafe Etc,203 Upper Thomson Rd,$31 - $50,Multi-Cuisine,3.5,1.351935,103.835152,40.5,1,0
506,506,Caf&#233; Iguana,"Riverside Point, 30 Merchant Road #01-03",$11 - $20,"Latin American/South American, Mexican",4.0,1.289315,103.844203,15.5,39,1
506,506,Caf&#233; Iguana,"Riverside Point, 30 Merchant Road #01-03",$11 - $20,"Latin American/South American, Mexican",4.0,1.289315,103.844203,15.5,40,1
506,506,Caf&#233; Iguana,"Riverside Point, 30 Merchant Road #01-03",$11 - $20,"Latin American/South American, Mexican",4.0,1.289315,103.844203,15.5,35,1
507,507,Cafe Insa-Dong,279 South Bridge Road,$0 - $9,Korean,3.0,1.281723,103.845225,4.5,2,0
508,508,Caf&#233;&amp;Meal MUJI,"Paragon, 290 Orchard Road #04-36",$0 - $9,"Japanese, Fusion",3.5,1.303628,103.835548,4.5,24,1
508,508,Caf&#233;&amp;Meal MUJI,"Paragon, 290 Orchard Road #04-36",$0 - $9,"Japanese, Fusion",3.5,1.303628,103.835548,4.5,21,1
509,509,Caf&#233; Melba,"Goodman Arts Centre, 90 Goodman Road #01-56 (Block N)",$31 - $50,Australian / New Zealand,3.5,1.303938,103.884968,40.5,29,1
509,509,Caf&#233; Melba,"Goodman Arts Centre, 90 Goodman Road #01-56 (Block N)",$31 - $50,Australian / New Zealand,3.5,1.303938,103.884968,40.5,30,1
511,511,Cafe Pal,43 Middle Rd,$11 - $20,Thai,3.0,1.29975,103.852152,15.5,12,0
512,512,Cafe Rouge,20 Baghdad Street,$11 - $20,French,3.5,1.301127,103.859811,15.5,18,0
513,513,Caf&#233; Swiss,"Swissotel The Stamford, 2 Stamford Rd Level 2",$21 - $30,"Swiss, European",4.0,1.293258,103.853383,25.5,41,1
513,513,Caf&#233; Swiss,"Swissotel The Stamford, 2 Stamford Rd Level 2",$21 - $30,"Swiss, European",4.0,1.293258,103.853383,25.5,28,1
514,514,Cafebiz,"Hotel Jen Tanglin Singapore, 1A Cuscaden Road (Lobby)",$51 - $80,Multi-Cuisine,4.0,1.304542,103.824807,65.5,1,0
515,515,Caffe B,"Marina Bay Sands, 2 Bayfront Avenue #B1-15 (The Shoppes)",$51 - $80,"Italian, Fusion",4.0,1.283697,103.860723,65.5,19,1
515,515,Caffe B,"Marina Bay Sands, 2 Bayfront Avenue #B1-15 (The Shoppes)",$51 - $80,"Italian, Fusion",4.0,1.283697,103.860723,65.5,21,1
516,516,Caffebene,"VivoCity, 1 HarbourFront Walk #02-150",$11 - $20,Korean,3.5,1.263928,103.822229,15.5,2,0
517,517,"Cai Yu Pian, Niu Rou, Xian Xia, Zha Jin He Fen","Yuhua Village Market &amp; Food Centre, Blk 254 Jurong East St 24 #01-14",$0 - $9,"Singaporean, Chinese",3.5,1.343492,103.737854,4.5,4,1
517,517,"Cai Yu Pian, Niu Rou, Xian Xia, Zha Jin He Fen","Yuhua Village Market &amp; Food Centre, Blk 254 Jurong East St 24 #01-14",$0 - $9,"Singaporean, Chinese",3.5,1.343492,103.737854,4.5,5,1
521,521,Cake Spade,83 Tanjong Pagar Road,$0 - $9,Western Variety,3.5,1.27781,103.843734,4.5,42,0
523,523,Cali Cafe,"Rochester Mall, 31 Rochester Drive #01-01",$21 - $30,American,3.5,1.305607,103.788051,25.5,16,0
524,524,California Pizza Kitchen,"Forum The Shopping Mall, 583 Orchard Road #01-42",$21 - $30,American,4.0,1.306024,103.828854,25.5,16,0
525,525,Campus Deli,"Ngee Ann Polytechnic, Blk 535 Clementi Road #01-13 (Blk 1, Atrium)",$0 - $9,Multi-Cuisine,3.0,1.33344,103.773862,4.5,1,0
526,526,Candlenut,17A Dempsey Road,$21 - $30,Peranakan / Nonya,4.0,1.305594,103.810379,25.5,13,1
526,526,Candlenut,17A Dempsey Road,$21 - $30,Peranakan / Nonya,4.0,1.305594,103.810379,25.5,14,1
529,529,Canopy Garden Dining &amp; Bar,"Bishan Park II, 1382 Ang Mo Kio Ave 1",$31 - $50,Western Variety,4.0,1.362481,103.847352,40.5,42,0
530,530,Canton Paradise,"Alexandra Retail Centre, 460 Alexandra Road #02-30",$11 - $20,Cantonese/Hong Kong,3.5,1.27393,103.801594,15.5,6,1
530,530,Canton Paradise,"Alexandra Retail Centre, 460 Alexandra Road #02-30",$11 - $20,Cantonese/Hong Kong,3.5,1.27393,103.801594,15.5,7,1
531,531,Canton Paradise,"AMK Hub, 53 Ang Mo Kio Ave 3 #B2-01/02",$11 - $20,Cantonese/Hong Kong,3.5,1.36926,103.849189,15.5,6,1
531,531,Canton Paradise,"AMK Hub, 53 Ang Mo Kio Ave 3 #B2-01/02",$11 - $20,Cantonese/Hong Kong,3.5,1.36926,103.849189,15.5,7,1
532,532,Canton Paradise,"Bedok Mall, 311 New Upper Changi Road #B2-10/11",$11 - $20,Cantonese/Hong Kong,3.5,1.324493,103.929484,15.5,6,1
532,532,Canton Paradise,"Bedok Mall, 311 New Upper Changi Road #B2-10/11",$11 - $20,Cantonese/Hong Kong,3.5,1.324493,103.929484,15.5,7,1
533,533,Canton Paradise,"The Star Vista, 1 Vista Exchange Green #B1-45/46",$11 - $20,Cantonese/Hong Kong,4.0,1.306871,103.78857,15.5,6,1
533,533,Canton Paradise,"The Star Vista, 1 Vista Exchange Green #B1-45/46",$11 - $20,Cantonese/Hong Kong,4.0,1.306871,103.78857,15.5,7,1
534,534,Canton Paradise,"JCube, 2 Jurong East Central 1 #02-09",$11 - $20,Cantonese/Hong Kong,3.5,1.333129,103.740221,15.5,6,1
534,534,Canton Paradise,"JCube, 2 Jurong East Central 1 #02-09",$11 - $20,Cantonese/Hong Kong,3.5,1.333129,103.740221,15.5,7,1
535,535,Canton Paradise,"I12 Katong, 112 East Coast Road #B1-15",$11 - $20,Cantonese/Hong Kong,4.0,1.305462,103.904652,15.5,6,1
535,535,Canton Paradise,"I12 Katong, 112 East Coast Road #B1-15",$11 - $20,Cantonese/Hong Kong,4.0,1.305462,103.904652,15.5,7,1
536,536,Cantonese Seng Kee Wanton Noodles,"ABC Brickworks Food Centre, Blk 6 Jalan Bukit Merah #01-111",$0 - $9,Cantonese/Hong Kong,3.5,1.286887,103.808075,4.5,6,1
536,536,Cantonese Seng Kee Wanton Noodles,"ABC Brickworks Food Centre, Blk 6 Jalan Bukit Merah #01-111",$0 - $9,Cantonese/Hong Kong,3.5,1.286887,103.808075,4.5,7,1
537,537,Capricciosa,"JCube, 2 Jurong East Central 1 #01-05",$11 - $20,"Italian, European",3.5,1.333129,103.740221,15.5,19,1
537,537,Capricciosa,"JCube, 2 Jurong East Central 1 #01-05",$11 - $20,"Italian, European",3.5,1.333129,103.740221,15.5,28,1
540,540,Careshop de Caf&#233;,"The Luzerne, 70 Bendemeer Road #01-05",$11 - $20,Japanese,3.0,1.316246,103.862595,15.5,24,0
541,541,Carne &amp; Caipirinha,"Sunset Way, Blk 106 Clementi St 12 #01-50",$51 - $80,Latin American/South American,3.5,1.32196,103.769586,65.5,39,1
541,541,Carne &amp; Caipirinha,"Sunset Way, Blk 106 Clementi St 12 #01-50",$51 - $80,Latin American/South American,3.5,1.32196,103.769586,65.5,40,1
542,542,Carnivore Brazilian Churrascaria,"Chijmes, 30 Victoria St #01-30",$51 - $80,Latin American/South American,4.0,1.295136,103.851929,65.5,39,1
542,542,Carnivore Brazilian Churrascaria,"Chijmes, 30 Victoria St #01-30",$51 - $80,Latin American/South American,4.0,1.295136,103.851929,65.5,40,1
543,543,Carnivore Brazilian Churrascaria,"Marina Bay Sands, 2 Bayfront Avenue #01-80 (The Shoppes)",$51 - $80,Latin American/South American,4.0,1.283697,103.860723,65.5,39,1
543,543,Carnivore Brazilian Churrascaria,"Marina Bay Sands, 2 Bayfront Avenue #01-80 (The Shoppes)",$51 - $80,Latin American/South American,4.0,1.283697,103.860723,65.5,40,1
545,545,Carousel,"25 Scotts Rd, Lobby Level, Royal Plaza on Scotts",$81 - $150,Multi-Cuisine,4.0,1.306944,103.831964,115.5,1,0
547,547,Carrara Cafe,"2 Jalan Bukit Merah, #01-5148",$11 - $20,Fusion,3.5,1.286964,103.806347,15.5,21,0
551,551,Casa Italia,"Jurong Point, 63 Jurong West Central 3 #03-32/33 (JP2)",$0 - $9,Italian,3.5,1.338894,103.705622,4.5,19,0
552,552,Casa Italia,"Bugis+, 201 Victoria St #01-07",$0 - $9,Italian,3.5,1.300152,103.856221,4.5,19,0
553,553,Casa Italia,"Causeway Point, 1 Woodlands Square #01-K04",$0 - $9,Italian,3.5,1.436185,103.785816,4.5,19,0
554,554,Casa Tartufo,"Forum The Shopping Mall, 583 Orchard Road #01-17",$31 - $50,"Italian, European",4.0,1.306024,103.828854,40.5,19,1
554,554,Casa Tartufo,"Forum The Shopping Mall, 583 Orchard Road #01-17",$31 - $50,"Italian, European",4.0,1.306024,103.828854,40.5,28,1
555,555,Casuarina Curry,136 Casuarina Road,$0 - $9,Indian,3.5,1.377159,103.828089,4.5,20,0
556,556,Cat Cafe Neko No Niwa,54A Boat Quay #02,$31 - $50,Multi-Cuisine,3.5,1.287151,103.849254,40.5,1,0
557,557,Catalunya,"The Fullerton Pavilion, 82 Collyer Quay",$31 - $50,Spanish,4.0,1.284828,103.853901,40.5,34,0
559,559,Causeway Bay Hong Kong Cafe,"The Centrepoint, 176 Orchard Road #01-105/106/107/110/111",$0 - $9,"Cantonese/Hong Kong, Chinese",3.0,1.301371,103.839735,4.5,6,1
559,559,Causeway Bay Hong Kong Cafe,"The Centrepoint, 176 Orchard Road #01-105/106/107/110/111",$0 - $9,"Cantonese/Hong Kong, Chinese",3.0,1.301371,103.839735,4.5,7,1
559,559,Causeway Bay Hong Kong Cafe,"The Centrepoint, 176 Orchard Road #01-105/106/107/110/111",$0 - $9,"Cantonese/Hong Kong, Chinese",3.0,1.301371,103.839735,4.5,5,1
571,571,Central Hong Kong Cafe,"Wheelock Place, 501 Orchard Road, #B2-01",$11 - $20,Cantonese/Hong Kong,3.5,1.304811,103.831198,15.5,6,1
571,571,Central Hong Kong Cafe,"Wheelock Place, 501 Orchard Road, #B2-01",$11 - $20,Cantonese/Hong Kong,3.5,1.304811,103.831198,15.5,7,1
572,572,Central Hong Kong Cafe,"VivoCity, 1 Harbourfront Walk #B2-13/14",$11 - $20,Cantonese/Hong Kong,3.5,1.263928,103.822229,15.5,6,1
572,572,Central Hong Kong Cafe,"VivoCity, 1 Harbourfront Walk #B2-13/14",$11 - $20,Cantonese/Hong Kong,3.5,1.263928,103.822229,15.5,7,1
575,575,Cha Cha Cha Mexican Restaurant,"Holland Village, 32 Lorong Mambong",$21 - $30,"Latin American/South American, Mexican",4.0,1.311803,103.796177,25.5,39,1
575,575,Cha Cha Cha Mexican Restaurant,"Holland Village, 32 Lorong Mambong",$21 - $30,"Latin American/South American, Mexican",4.0,1.311803,103.796177,25.5,40,1
575,575,Cha Cha Cha Mexican Restaurant,"Holland Village, 32 Lorong Mambong",$21 - $30,"Latin American/South American, Mexican",4.0,1.311803,103.796177,25.5,35,1
576,576,Chabuton,"313@Somerset, 313 Orchard Road #B2-01",$11 - $20,Japanese,3.5,1.301114,103.838872,15.5,24,0
581,581,Chan Chan Chan,"Ngee Ann City, 391 Orchard Road #B2 (Takashimaya Food Hall)",$0 - $9,Korean,3.5,1.302664,103.834623,4.5,2,0
582,582,Chang Cheng Chinese Mixed Vegetable Rice,"Causeway Point, 1 Woodlands Square #04-01/04",$0 - $9,Chinese,3.5,1.436185,103.785816,4.5,5,0
583,583,Chang Cheng Chinese Mixed Vegetable Rice,Blk 761 Yishun St 72 #01-338,$0 - $9,Chinese,3.5,1.425474,103.833219,4.5,5,0
584,584,Chang Cheng Qu Gu Chicken Rice,"Yong Xing Mian Jia Can Shi, 154 Bukit Batok St 11",$0 - $9,Singaporean Chinese,3.5,1.342762,103.76004,4.5,15,0
585,585,Chang Thai Authentic Thai Cuisine,Blk 151 Bishan St 11 #01-195,$11 - $20,Thai,3.5,1.345283,103.855659,15.5,12,0
586,586,Changi Village Carrot Cake,"Changi Village Hawker Centre, Blk 2/3 Changi Village Road, #01-13",$0 - $9,"Singaporean, Chinese",3.5,1.389658,103.988092,4.5,4,1
586,586,Changi Village Carrot Cake,"Changi Village Hawker Centre, Blk 2/3 Changi Village Road, #01-13",$0 - $9,"Singaporean, Chinese",3.5,1.389658,103.988092,4.5,5,1
587,587,Chao Yue Xuan Seafood Restaurant,"UE Square, 207 River Valley Road #01-51/54 (River Wing)",$31 - $50,Cantonese/Hong Kong,3.5,1.292042,103.842617,40.5,6,1
587,587,Chao Yue Xuan Seafood Restaurant,"UE Square, 207 River Valley Road #01-51/54 (River Wing)",$31 - $50,Cantonese/Hong Kong,3.5,1.292042,103.842617,40.5,7,1
589,589,Chapter 55,246 Jalan Kayu Road,$11 - $20,Italian,3.5,1.397833,103.873399,15.5,19,0
590,590,Char Casual Dining,393 Guillemard Road,$11 - $20,Cantonese/Hong Kong,3.5,1.311923,103.888294,15.5,6,1
590,590,Char Casual Dining,393 Guillemard Road,$11 - $20,Cantonese/Hong Kong,3.5,1.311923,103.888294,15.5,7,1
595,595,Char Restaurant,363 Jalan Besar,$11 - $20,Singaporean Chinese,3.5,1.312653,103.85955,15.5,15,0
597,597,Charcoal Thai,"Nex, 23 Serangoon Central #B1-30/31",$21 - $30,Thai,3.5,1.351221,103.872292,25.5,12,0
598,598,Charco&#39;s,Blk 608 Ang Mo Kio Ave 5,$21 - $30,Portuguese,3.5,1.378715,103.836939,25.5,36,0
599,599,Charisma D&#39; Venue,37 Joo Chiat Place,$11 - $20,Malay,3.5,1.313525,103.900541,15.5,9,0
602,602,Ch&#226;terais&#233;,"Westgate, 3 Gateway Drive #B2 (Isetan)",$0 - $9,Japanese,3.5,1.334461,103.742801,4.5,24,0
603,603,Ch&#226;terais&#233;,"ION Orchard, 2 Orchard Turn, #B4-45/46",$0 - $9,Japanese,3.5,1.304082,103.832016,4.5,24,0
604,604,Ch&#226;terais&#233;,"SingPost Centre, 10 Eunos Road 8, #01-134/135",$0 - $9,Japanese,3.5,1.318727,103.893851,4.5,24,0
605,605,Ch&#226;terais&#233;,"Northpoint City, 1 Northpoint Drive, #01-152",$0 - $9,Japanese,3.5,1.42846,103.836099,4.5,24,0
606,606,Chatime,"Novena Square Velocity, 238 Thomson Road #01-07",$0 - $9,Taiwanese,4.0,1.32044,103.843556,4.5,17,0
607,607,Chatime,"E!Hub, 1 Pasir Ris Close #02-101",$0 - $9,Taiwanese,4.0,1.377757,103.955297,4.5,17,0
612,612,Chef Yamashita,"Blk 1 Tanjong Pagar Plaza, #02-44",$0 - $9,Japanese,4.0,1.27482,103.842748,4.5,24,0
613,613,Chef&#39;s Noodle,"HarbourFront Centre, 1 Maritime Square #01-99/100",$11 - $20,Korean,3.5,1.264621,103.820249,15.5,2,0
616,616,Cheng Mun Chee Kee Pig Organ Soup,24 Foch Road,$0 - $9,Teochew,3.5,1.312222,103.860048,4.5,8,0
617,617,Che&#39;Rose Nasi Padang - 128 Choices Coffeeshop,Blk 128 Lorong 1 Toa Payoh #01-811,$0 - $9,Malay,3.5,1.337984,103.844307,4.5,9,0
618,618,Cherry Garden,"Marina Square, 5 Raffles Avenue",$31 - $50,Cantonese/Hong Kong,3.5,1.29178,103.857488,40.5,6,1
618,618,Cherry Garden,"Marina Square, 5 Raffles Avenue",$31 - $50,Cantonese/Hong Kong,3.5,1.29178,103.857488,40.5,7,1
619,619,Chew Kee Eating House,8 Upper Cross Street,$0 - $9,Cantonese/Hong Kong,4.0,1.283709,103.845619,4.5,6,1
619,619,Chew Kee Eating House,8 Upper Cross Street,$0 - $9,Cantonese/Hong Kong,4.0,1.283709,103.845619,4.5,7,1
626,626,Chicken Hotpot,"Westgate, 3 Gateway Drive #04-08",$11 - $20,Sichuan,3.5,1.334461,103.742801,15.5,37,0
627,627,Chicken Hotpot,"Nex, 23 Serangoon Central #02-17",$11 - $20,Sichuan,3.5,1.351221,103.872292,15.5,37,0
628,628,Chicken House,255 Upper Thomson Road,$0 - $9,Hainanese,4.0,1.353362,103.833558,4.5,22,0
633,633,Chicken Rice - Cantine,"Jurong Point, 1 Jurong West Central 2 #B1-42/43/44 (JP1)",$0 - $9,Hainanese,3.5,1.322669,103.720709,4.5,22,0
634,634,Chicken Rice- Food Junction Kitchen,"Sembawang Shopping Centre, 604 Sembawang Road #02-20",$0 - $9,"Singaporean, Hainanese, Chinese",3.5,1.441732,103.824813,4.5,4,1
634,634,Chicken Rice- Food Junction Kitchen,"Sembawang Shopping Centre, 604 Sembawang Road #02-20",$0 - $9,"Singaporean, Hainanese, Chinese",3.5,1.441732,103.824813,4.5,22,1
634,634,Chicken Rice- Food Junction Kitchen,"Sembawang Shopping Centre, 604 Sembawang Road #02-20",$0 - $9,"Singaporean, Hainanese, Chinese",3.5,1.441732,103.824813,4.5,5,1
635,635,Chicken Rice - Gek Poh Food Court,"Gek Poh Shopping Centre, 762 Jurong West St 75 #01-308",$0 - $9,"Singaporean, Chinese",3.5,1.348681,103.697808,4.5,4,1
635,635,Chicken Rice - Gek Poh Food Court,"Gek Poh Shopping Centre, 762 Jurong West St 75 #01-308",$0 - $9,"Singaporean, Chinese",3.5,1.348681,103.697808,4.5,5,1
638,638,Chicken Rice – North Canteen,"Nanyang Polytechnic,180 Ang Mo Kio Ave 8 (Blk E)",$0 - $9,"Singaporean, Chinese",3.5,1.380099,103.849099,4.5,4,1
638,638,Chicken Rice – North Canteen,"Nanyang Polytechnic,180 Ang Mo Kio Ave 8 (Blk E)",$0 - $9,"Singaporean, Chinese",3.5,1.380099,103.849099,4.5,5,1
640,640,Chicken Rice Stall - Tongseng Coffee Shop,496 North Bridge Road,$0 - $9,Singaporean,3.5,1.298486,103.855868,4.5,4,0
642,642,Chicken Up,"Jurong East MRT, 10 Jurong East St 12 #01-01",$21 - $30,Korean,3.5,1.333376,103.74186,25.5,2,0
643,643,Chicken Up,"Parkway Parade, 80 Marine Parade Road #01-10",$21 - $30,Korean,3.5,1.300837,103.9055,25.5,2,0
644,644,Chicken Up,"Buangkok Mrt, Blk 277C Compassvale Link #01-13 (Unit No.2A)",$21 - $30,Korean,3.5,1.381835,103.893915,25.5,2,0
645,645,Chicken Up,"Century Square, 2 Tampines Central 5 #01-44/45/46/47",$21 - $30,Korean,3.5,1.352179,103.943933,25.5,2,0
646,646,Chicken Up,48 Tanjong Pagar Road,$21 - $30,Korean,4.0,1.27928,103.843644,25.5,2,0
647,647,Chihuly Lounge,"The Ritz-Carlton Millenia Singapore, 7 Raffles Ave",$31 - $50,Multi-Cuisine,4.0,1.290534,103.860074,40.5,1,0
648,648,Chikuyotei,"InterContinental Singapore, 80 Middle Road, #01-01",$81 - $150,Japanese,4.5,1.298437,103.854991,115.5,24,0
649,649,Chikuyotei,"InterContinental Singapore, 80 Middle Road",$51 - $80,Japanese,4.5,1.298437,103.854991,65.5,24,0
650,650,Chili&#39;s,"JCube, 2 Jurong East Central 1 #03-10",$11 - $20,American,3.5,1.333129,103.740221,15.5,16,0
651,651,Chili&#39;s,"Resorts World Sentosa, 8 Sentosa Gateway (The Bull Ring)",$31 - $50,American,4.0,1.25218,103.824175,40.5,16,0
652,652,Chilli Padi Nonya Restaurant,11 Joo Chiat Place #01-03,$31 - $50,Peranakan / Nonya,3.5,1.313427,103.900076,40.5,13,1
652,652,Chilli Padi Nonya Restaurant,11 Joo Chiat Place #01-03,$31 - $50,Peranakan / Nonya,3.5,1.313427,103.900076,40.5,14,1
657,657,Chinese Cooked Food - The Business Park,"Temasek Polytechnic, Blk 26 21 Tampines Ave 1 #01-03",$0 - $9,Singaporean Chinese,3.5,1.34585,103.930232,4.5,15,0
658,658,Chinese Food,"Changi Airport Terminal 1, 80 Airport Boulevard (Canteen)",$0 - $9,Singaporean Chinese,3.5,1.362591,103.990648,4.5,15,0
659,659,Chinese Mixed Rice - Kopitiam,"Tiong Bahru Plaza, 302 Tiong Bahru Road, #03-01/02 &amp; 55",$0 - $9,Chinese,3.5,1.28643,103.827693,4.5,5,0
661,661,Chinta Manis,"King Albert Park, 11 King Albert Park #01-04",$0 - $9,Peranakan / Nonya,3.5,1.336909,103.779311,4.5,13,1
661,661,Chinta Manis,"King Albert Park, 11 King Albert Park #01-04",$0 - $9,Peranakan / Nonya,3.5,1.336909,103.779311,4.5,14,1
662,662,Chinta Manis,"Greenwich V, 1 Seletar Road #01-19",$0 - $9,Peranakan / Nonya,3.5,1.38754,103.86912,4.5,13,1
662,662,Chinta Manis,"Greenwich V, 1 Seletar Road #01-19",$0 - $9,Peranakan / Nonya,3.5,1.38754,103.86912,4.5,14,1
663,663,CHIPPY British Take Away,"Plaza Singapura, 68 Orchard Road #B2-38",$0 - $9,English,3.5,1.300005,103.844626,4.5,31,0
664,664,CHIPPY British Take Away,"Tampines 1, 10 Tampines Central 1 #B1-K6",$0 - $9,English,4.0,1.367228,103.928218,4.5,31,0
665,665,Chir Chir,"Chinatown Point, 133 New Bridge Road",$21 - $30,Korean,3.5,1.285849,103.84517,25.5,2,0
666,666,Chir Chir,"313@Somerset, 313 Orchard Road #B3-04/05/06",$21 - $30,Korean,3.5,1.301114,103.838872,25.5,2,0
667,667,Chiso Zanmai,"The Central, 6 Eu Tong Sen St #01-15",$21 - $30,Japanese,4.0,1.28878,103.846236,25.5,24,0
668,668,Chix A-Dish - Food Haven/Lawn,"Republic Polytechnic W4, Blk 37 Woodlands Ave 9 #01-10",$0 - $9,Malay,4.0,1.445259,103.785784,4.5,9,0
669,669,Cho Kee Noodle,Blk 186 Toa Payoh Central #01-402 (J99 Eating House),$0 - $9,"Singaporean, Chinese",3.5,1.332639,103.850229,4.5,4,1
669,669,Cho Kee Noodle,Blk 186 Toa Payoh Central #01-402 (J99 Eating House),$0 - $9,"Singaporean, Chinese",3.5,1.332639,103.850229,4.5,5,1
673,673,Chocz,"Esplanade Mall, 8 Raffles Avenue #02-13/15",$11 - $20,"Swiss, European",4.0,1.289509,103.855511,15.5,41,1
673,673,Chocz,"Esplanade Mall, 8 Raffles Avenue #02-13/15",$11 - $20,"Swiss, European",4.0,1.289509,103.855511,15.5,28,1
676,676,Chomp Chomp Satay,"Chomp Chomp Food Centre, 20 Kensington Park Road",$0 - $9,"Singaporean, Chinese",4.0,1.364233,103.866536,4.5,4,1
676,676,Chomp Chomp Satay,"Chomp Chomp Food Centre, 20 Kensington Park Road",$0 - $9,"Singaporean, Chinese",4.0,1.364233,103.866536,4.5,5,1
680,680,Chops,727 Ang Mo Kio Ave 6,$0 - $9,American,3.5,1.372946,103.846077,4.5,16,0
681,681,Chopsuey Cafe,10 Dempsey Road #01-23,$51 - $80,Fusion,3.5,1.303287,103.810502,65.5,21,0
682,682,Chor Huat Pu Tien Seafood Restaurant,528 Macpherson Road,$51 - $80,Fujian/Heng Hwa,3.5,1.332323,103.88435,65.5,26,1
682,682,Chor Huat Pu Tien Seafood Restaurant,528 Macpherson Road,$51 - $80,Fujian/Heng Hwa,3.5,1.332323,103.88435,65.5,27,1
683,683,Chotto Matte,54 Blair Road,$31 - $50,"European, Japanese, Fusion",3.5,1.27593,103.83566,40.5,28,1
683,683,Chotto Matte,54 Blair Road,$31 - $50,"European, Japanese, Fusion",3.5,1.27593,103.83566,40.5,24,1
683,683,Chotto Matte,54 Blair Road,$31 - $50,"European, Japanese, Fusion",3.5,1.27593,103.83566,40.5,21,1
686,686,CHOW FUN Bar &amp; Restaurant,"The Grandstand, 200 Turf Club Road #01-08",$11 - $20,"Japanese, Korean, Thai, Singaporean Western",3.5,1.338869,103.792986,15.5,24,1
686,686,CHOW FUN Bar &amp; Restaurant,"The Grandstand, 200 Turf Club Road #01-08",$11 - $20,"Japanese, Korean, Thai, Singaporean Western",3.5,1.338869,103.792986,15.5,2,1
686,686,CHOW FUN Bar &amp; Restaurant,"The Grandstand, 200 Turf Club Road #01-08",$11 - $20,"Japanese, Korean, Thai, Singaporean Western",3.5,1.338869,103.792986,15.5,12,1
686,686,CHOW FUN Bar &amp; Restaurant,"The Grandstand, 200 Turf Club Road #01-08",$11 - $20,"Japanese, Korean, Thai, Singaporean Western",3.5,1.338869,103.792986,15.5,23,1
687,687,Chuan Kee Satay,"51 Old Airport Road Food Centre &amp; Shopping Mall, 51 Old Airport Road #01-85",$0 - $9,Singaporean,4.5,1.280455,103.844656,4.5,4,0
688,688,Chuan Yi Pin,530 North Bridge Road #01-01,$11 - $20,Sichuan,3.5,1.298849,103.856125,15.5,37,0
689,689,Chuen Chuen Cafe,21 Tan Quee Lan St #01-01,$0 - $9,Hainanese,4.0,1.298586,103.856405,4.5,22,0
690,690,Chui Huay Lim Teochew Cuisine,"Chui Huay Lim Club, 190 Keng Lee Road #01-02",$31 - $50,Teochew,3.5,1.31409,103.841452,40.5,8,0
691,691,Chun Fa Wanton Noodle,57 Eng Hoon Street #01-88 (Tai Kwang Huat Coffee Shop),$0 - $9,"Singaporean, Chinese",3.5,1.284906,103.833292,4.5,4,1
