id,name,rating,latitude,longitude,price,cuisine_cats,mult_cuisines,Asian Variety,Multi-Cuisine,Korean,Belgian,Singaporean,Chinese,Cantonese,Hong Kong,Teochew,Malay,Middle Eastern,Mediterranean,Thai,Peranakan,Nonya,Singaporean Chinese,American,Taiwanese,French,Italian,Indian,Fusion,Hainanese,Singaporean Western,Japanese,Malaysian,Fujian,Heng Hwa,European,Australian,New Zealand,English,Shanghainese,Indonesian,Spanish,Mexican,Portuguese,Sichuan,German,Latin American,South American,Swiss,Western Variety,Vietnamese,Beijing,Russian,Foochow,Hakka,Caribbean,Filipino,Irish,Dong Bei
31,328 Katong Laksa,3.5,1.305096,103.903211,4.5,[15],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,328 Katong Laksa,3.5,1.307317,103.907347,4.5,[5],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,363 Holland Village Nasi Lemak,3.5,1.311803,103.796177,4.5,[9],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4 Fingers Crispy Chicken,3.5,1.300005,103.844626,4.5,[2],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4 Fingers Crispy Chicken,3.5,1.304082,103.832016,4.5,[2],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5 Drunken Rabbits Bistro &amp; Bar,3.0,1.382091,103.947924,25.5,[16],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5 Little Bears,3.0,1.307079,103.833146,4.5,"[17, 5]",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5 Little Bears,3.5,1.318786,103.892577,4.5,[17],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5 Senses,3.5,1.324952,103.932317,15.5,[18],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,69 Cold Soya Beancurd,3.5,1.285187,103.822077,4.5,"[4, 5]",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,(7&quot;)&#178; Pizza,3.5,1.280259,103.850614,4.5,[19],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7 Wonders Seafood,3.5,1.312819,103.859594,15.5,[15],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,761 Yishun Seafood,3.0,1.425474,103.833219,4.5,[4],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
